GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36
0500000US02220,02220,"Sitka City and Borough, Alaska",40000,2881,54113,4257,53321,3747,53750,5021,40673,16135,66932,8286,66382,829,68750,79856,67411,19671,43646,5328,43125,3415,78333,55855,36489,13266,43750,26581,78750,12615,87667,10769,55417,6379,26974,3598,24632,7259,51250,12180,48438,8468,63750,40565,25813,7737,25906,4419,30288,4740,30109,5810,19318,8491,33115,2725,63235,7634,70313,17135,61146,10783,76250,26561,22217,5282,21094,10376,30179,11659,21429,10789
0500000US02230,02230,"Skagway Municipality, Alaska",39625,9136,62500,7784,63077,4810,63317,5238,60417,23589,96250,95851,-,**,147917,114648,78750,22429,36000,5033,-,**,-,**,41667,27826,21250,13039,56750,6053,56625,4156,-,**,30000,6799,-,**,64375,10239,56250,13777,110625,68718,22222,4406,30950,10839,25313,8672,36719,4702,38750,10166,35750,7055,54000,8458,36250,5170,52083,5622,71250,9283,33654,17193,31683,8157,51500,3643,33350,22129
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",45500,8639,59363,4051,71736,12437,66250,15823,76354,9893,88077,26134,65000,76239,85000,89785,92500,18424,50430,12876,39125,14777,85417,56581,51900,8170,22045,24527,60893,48417,62143,41324,12083,79079,31369,8904,17197,7059,63313,4932,64750,13380,47212,29423,33802,2436,9911,5032,15833,16114,37353,6570,10982,8427,46442,15522,63214,17146,51607,51391,75409,10430,54125,15424,21944,20485,61250,75016,35048,10148,9280,1788
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",40964,6915,69872,8931,73578,8678,79049,6923,22763,26047,69167,25704,111250,208655,61719,78457,70417,13563,51078,10668,31250,20365,-,**,55324,6563,30455,28565,78655,859,78612,889,-,**,23958,14072,32260,2957,9766,55355,49000,36590,9395,41824,16458,17030,32900,21394,15833,14530,27813,12432,15809,9779,31859,9601,49469,10867,14932,50615,37247,7614,77396,21306,51750,27980,66250,65839,45208,38224,51250,54680
0500000US02275,02275,"Wrangell City and Borough, Alaska",33214,6614,56818,8992,61375,6832,63611,4612,53854,1223,65833,2512,-,**,-,**,66071,1070,41250,15841,45833,14417,-,**,41875,21765,34167,43714,66250,17921,78125,140966,61875,20802,26595,2932,27031,4437,68056,20291,41250,45197,68889,1538,22500,11637,30188,22826,25625,12312,22104,3711,21321,4396,24286,4691,42500,22736,51875,31649,27500,11520,65703,6413,33571,10169,35833,13312,34286,11465,10000,9593
0500000US02282,02282,"Yakutat City and Borough, Alaska",35865,5428,49792,20718,47813,8668,49063,14731,26250,48226,117768,86696,-,**,-,**,65750,3162,15417,15723,31250,35184,-,**,15000,52181,-,**,-,**,-,**,-,**,31250,26891,-,**,51500,24001,51250,18694,68750,37462,11250,4571,33750,14238,25417,5724,39250,11448,39583,9218,38750,16878,33750,4695,33438,7203,23125,7743,54375,19869,20982,6893,20536,9491,-,**,23750,11476
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",27170,1816,34350,2254,41071,7746,42857,7179,27500,13193,37500,17789,-,**,32813,5463,63750,25407,28906,3776,30682,2090,-,**,27917,8175,13125,11594,37321,22056,48750,91524,36607,4564,15951,1478,32250,18624,53750,12232,54500,28467,48750,14410,18125,4453,10833,1111,14643,3014,23947,2823,17083,4689,26964,5776,33250,9786,53125,54036,27857,5348,42500,31116,26033,1587,25515,4759,42500,11598,20625,8503
0500000US04001,04001,"Apache County, Arizona",30497,1020,42937,1603,49583,6024,51544,5414,45286,6292,56429,11603,48750,13031,58713,8784,54583,20264,37150,4990,37763,9303,61944,23508,37552,6132,20500,27703,50660,3016,61450,11950,40184,4201,20369,1538,30187,5559,38444,2054,28367,2741,41504,2187,16200,2241,17776,3164,15485,2140,24892,2882,16671,1499,28238,2486,32943,3296,7344,13812,32184,2383,45250,12157,31903,3000,41973,4310,23566,6729,19423,11566
0500000US04003,04003,"Cochise County, Arizona",28863,1124,50233,4255,54052,5320,54681,6499,52167,10470,71086,6203,72907,7779,71838,21576,50956,27444,34688,2350,31480,7044,53679,21426,34803,2723,29725,7038,43279,9113,53594,8113,29668,7487,19038,1580,21613,997,55484,6682,43648,8006,60254,8324,11477,872,17934,1853,17956,2607,24299,1682,17385,3296,27667,1648,27410,2868,17419,3398,25174,5152,40906,4303,23354,2899,25822,7421,28063,5905,12398,3449
0500000US04005,04005,"Coconino County, Arizona",27670,1093,43805,2062,47500,3737,49930,3719,40912,7609,60102,4856,52730,10403,79653,5973,52669,8344,33857,2344,33586,2244,42054,3730,35453,1985,18056,10115,61188,4762,69560,7569,36586,8871,16792,1167,23866,3027,39893,13954,37987,15025,47500,13948,14212,1956,16677,2632,13391,3611,21237,1696,17977,3309,23542,2064,31557,2933,21354,18879,31234,3338,39960,3326,31464,2759,35225,3550,32382,6822,19010,8294
